### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,328,536,-145.144,0,255,0,0,100,1,1
1,335,217,43.5255,0,255,0,0,100,1,1
2,273,731,-10.5273,0,255,0,0,100,1,1
3,596,293,-137.68,0,255,0,0,100,1,1
4,672,321,-131.741,0,255,0,0,100,1,1
5,665,725,23.4835,0,255,0,0,100,1,1
6,499,773,107.804,0,255,0,0,100,1,1
7,183,814,-111.466,0,255,0,0,100,1,1
8,89,276,36.7494,0,255,0,0,100,1,1
9,675,390,72.7893,0,255,0,0,100,1,1
10,456,800,177.891,0,255,0,0,100,1,1
11,572,172,108.331,0,255,0,0,100,1,1
12,423,142,81.1665,0,255,0,0,100,1,1
13,215,392,-17.7757,0,255,0,0,100,1,1
14,540,749,-128.406,0,255,0,0,100,1,1
15,368,69,143.722,0,255,0,0,100,1,1
16,576,91,-36.988,0,255,0,0,100,1,1
17,474,50,-145.831,0,255,0,0,100,1,1
18,573,782,7.62919,0,255,0,0,100,1,1
19,911,484,-96.1897,0,255,0,0,100,1,1
20,605,457,176.99,0,255,0,0,100,1,1
21,398,511,-115.116,0,255,0,0,100,1,1
22,413,245,-48.1304,0,255,0,0,100,1,1
23,154,351,127.577,0,255,0,0,100,1,1
24,449,494,-147.521,0,255,0,0,100,1,1
25,536,60,64.7697,0,255,0,0,100,1,1
26,781,407,37.0757,0,255,0,0,100,1,1
27,394,939,-137.751,0,255,0,0,100,1,1
28,647,569,-110.122,0,255,0,0,100,1,1
29,471,869,137.776,0,255,0,0,100,1,1
30,543,176,-148.073,0,255,0,0,100,1,1
31,757,296,-114.16,0,255,0,0,100,1,1
32,899,339,-166.409,0,255,0,0,100,1,1
33,320,874,97.6503,0,255,0,0,100,1,1
34,502,609,-104.063,0,255,0,0,100,1,1
35,360,688,-9.45706,0,255,0,0,100,1,1
36,495,488,19.5824,0,255,0,0,100,1,1
37,756,888,154.73,0,255,0,0,100,1,1
38,607,733,-79.6164,0,255,0,0,100,1,1
39,273,418,-62.6118,0,255,0,0,100,1,1
40,186,635,-78.56,0,255,0,0,100,1,1
41,623,512,145.797,0,255,0,0,100,1,1
42,553,348,141.53,0,255,0,0,100,1,1
43,828,510,-51.4256,0,255,0,0,100,1,1
44,759,322,-26.2568,0,255,0,0,100,1,1
45,239,446,-16.573,0,255,0,0,100,1,1
46,496,712,-71.059,0,255,0,0,100,1,1
47,851,392,-43.7042,0,255,0,0,100,1,1
48,711,87,-59.5968,0,255,0,0,100,1,1
49,377,336,-159.226,0,255,0,0,100,1,1
50,628,782,-149.715,0,255,0,0,100,1,1
51,730,304,61.5139,0,255,0,0,100,1,1
52,314,187,102.528,0,255,0,0,100,1,1
53,319,840,-22.0444,0,255,0,0,100,1,1
54,729,889,162.353,0,255,0,0,100,1,1
55,317,562,-101.364,0,255,0,0,100,1,1
56,195,382,-53.6011,0,255,0,0,100,1,1
57,854,356,129.322,0,255,0,0,100,1,1
58,477,516,-101.586,0,255,0,0,100,1,1
59,348,396,-40.2246,0,255,0,0,100,1,1
60,190,752,17.1015,0,255,0,0,100,1,1
61,189,712,5.16621,0,255,0,0,100,1,1
62,539,923,56.0507,0,255,0,0,100,1,1
63,710,78,59.5822,0,255,0,0,100,1,1
64,661,507,-3.60804,0,255,0,0,100,1,1
65,585,169,131.622,0,255,0,0,100,1,1
66,671,137,-124.526,0,255,0,0,100,1,1
67,495,511,-122.701,0,255,0,0,100,1,1
68,773,427,106.686,0,255,0,0,100,1,1
69,762,594,89.0283,0,255,0,0,100,1,1
70,882,637,-99.6598,0,255,0,0,100,1,1
71,632,264,160.056,0,255,0,0,100,1,1
72,466,346,-112.263,0,255,0,0,100,1,1
73,151,331,-103.472,0,255,0,0,100,1,1
74,683,873,-110.954,0,255,0,0,100,1,1
75,218,157,29.3284,0,255,0,0,100,1,1
76,231,183,25.3439,0,255,0,0,100,1,1
77,349,89,-11.7683,0,255,0,0,100,1,1
78,356,746,75.8208,0,255,0,0,100,1,1
79,159,633,128.598,0,255,0,0,100,1,1
80,706,642,26.2206,0,255,0,0,100,1,1
81,703,169,-167.06,0,255,0,0,100,1,1
82,507,894,-148.187,0,255,0,0,100,1,1
83,546,541,178.617,0,255,0,0,100,1,1
84,288,147,-78.8651,0,255,0,0,100,1,1
85,839,525,118.351,0,255,0,0,100,1,1
86,142,226,-137.238,0,255,0,0,100,1,1
87,866,466,-124.725,0,255,0,0,100,1,1
88,247,498,87.6383,0,255,0,0,100,1,1
89,197,253,50.7106,0,255,0,0,100,1,1
90,196,301,-72.1355,0,255,0,0,100,1,1
91,259,284,157.833,0,255,0,0,100,1,1
92,458,26,0.703786,0,255,0,0,100,1,1
93,839,701,-117.914,0,255,0,0,100,1,1
94,408,919,-13.4526,0,255,0,0,100,1,1
95,220,278,78.2776,0,255,0,0,100,1,1
96,613,75,68.4887,0,255,0,0,100,1,1
97,199,728,-143.716,0,255,0,0,100,1,1
98,709,824,-107.772,0,255,0,0,100,1,1
99,894,449,145.196,0,255,0,0,100,1,1
100,36,440,-172.562,0,255,0,0,100,1,1
101,290,439,84.7926,0,255,0,0,100,1,1
102,355,908,-126.637,0,255,0,0,100,1,1
103,660,679,2.09224,0,255,0,0,100,1,1
104,887,238,177.507,0,255,0,0,100,1,1
105,745,422,20.7517,0,255,0,0,100,1,1
106,781,585,135.603,0,255,0,0,100,1,1
107,75,690,-95.9298,0,255,0,0,100,1,1
108,868,741,145.856,0,255,0,0,100,1,1
109,325,858,47.7585,0,255,0,0,100,1,1
110,95,330,88.8748,0,255,0,0,100,1,1
111,311,499,63.3538,0,255,0,0,100,1,1
112,398,176,139.873,0,255,0,0,100,1,1
113,920,586,146.451,0,255,0,0,100,1,1
114,649,325,160.864,0,255,0,0,100,1,1
115,922,283,-41.9388,0,255,0,0,100,1,1
116,248,756,-123.108,0,255,0,0,100,1,1
117,425,910,141.076,0,255,0,0,100,1,1
118,284,304,-19.8304,0,255,0,0,100,1,1
119,518,39,-63.3989,0,255,0,0,100,1,1
120,518,300,-89.6255,0,255,0,0,100,1,1
121,571,468,135.491,0,255,0,0,100,1,1
122,662,661,158.961,0,255,0,0,100,1,1
123,107,434,52.141,0,255,0,0,100,1,1
124,331,450,60.3044,0,255,0,0,100,1,1
125,486,88,-141.651,0,255,0,0,100,1,1
126,373,621,-87.8961,0,255,0,0,100,1,1
127,692,206,-35.905,0,255,0,0,100,1,1
128,524,141,-44.1036,0,255,0,0,100,1,1
129,901,702,9.97419,0,255,0,0,100,1,1
130,927,470,139.453,0,255,0,0,100,1,1
131,499,107,-143.021,0,255,0,0,100,1,1
132,506,48,69.2343,0,255,0,0,100,1,1
133,623,656,51.5788,0,255,0,0,100,1,1
134,529,427,-152.577,0,255,0,0,100,1,1
135,616,670,-70.7513,0,255,0,0,100,1,1
136,156,445,-175.848,0,255,0,0,100,1,1
137,396,246,2.80652,0,255,0,0,100,1,1
138,110,482,-101.41,0,255,0,0,100,1,1
139,588,423,132.273,0,255,0,0,100,1,1
140,616,705,-162.434,0,255,0,0,100,1,1
141,625,305,100.822,0,255,0,0,100,1,1
142,88,359,140.606,0,255,0,0,100,1,1
143,592,182,35.8909,0,255,0,0,100,1,1
144,837,618,-8.63985,0,255,0,0,100,1,1
145,848,757,-160.497,0,255,0,0,100,1,1
146,860,462,115.079,0,255,0,0,100,1,1
147,81,363,24.077,0,255,0,0,100,1,1
148,174,159,31.9751,0,255,0,0,100,1,1
149,564,779,49.1755,0,255,0,0,100,1,1
150,777,876,-16.2588,0,255,0,0,100,1,1
151,534,219,-1.64757,0,255,0,0,100,1,1
152,872,568,-151.442,0,255,0,0,100,1,1
153,684,836,-33.1886,0,255,0,0,100,1,1
154,627,56,102.982,0,255,0,0,100,1,1
155,298,139,71.3679,0,255,0,0,100,1,1
156,510,573,23.6938,0,255,0,0,100,1,1
157,778,755,-9.02247,0,255,0,0,100,1,1
158,440,625,-84.3334,0,255,0,0,100,1,1
159,92,601,178.177,0,255,0,0,100,1,1
160,322,378,108.743,0,255,0,0,100,1,1
161,680,502,164.249,0,255,0,0,100,1,1
162,198,259,-119.202,0,255,0,0,100,1,1
163,205,419,115.076,0,255,0,0,100,1,1
164,443,556,108.984,0,255,0,0,100,1,1
165,233,678,-164.476,0,255,0,0,100,1,1
166,394,415,-127.349,0,255,0,0,100,1,1
